# Online table from 2011ApJ...728..117B, the first KOI list
# Table A1
# List of Planetary Candidates
# KOI	KIC Number	Kp	Planet Radius	Epoch	Period	T_eff	log(g)	R*	
# 			R_J	BJD-2454900	(days)	(K)	(cgs)	(Sun)	
152.01	8394721	13.9	0.57	91.750	52.088	6187	4.536	0.936	
152.02	8394721	13.9	0.31	66.634	27.401	6187	4.536	0.936	
152.03	8394721	13.9	0.29	69.622	13.484	6187	4.536	0.936	
191.01	5972334	15.0	1.06	65.385	15.359	5495	4.519	0.921	
191.02	5972334	15.0	0.19	65.492	2.419	5495	4.519	0.921	
209.01	10723750	14.3	1.05	68.635	50.789	6221	4.478	1.418	
209.02	10723750	14.3	0.69	78.821	18.796	6221	4.478	1.418	
184.01	7972785	14.9	1.59	66.566	7.301	6134	4.431	1.534	
187.01	7023960	14.9	1.16	84.529	30.883	5768	4.703	0.829	
188.01	5357901	14.7	0.72	66.508	3.797	5087	4.730	0.681	
193.01	10799735	14.9	1.46	90.349	37.590	5883	4.465	1.008	
194.01	10904857	14.8	0.99	72.466	3.121	5883	4.633	0.820	
195.01	11502867	14.8	1.13	66.630	3.218	5604	4.498	0.955	
198.01	10666242	14.3	3.43	86.369	87.233	5538	4.629	0.806	
200.01	6046540	14.4	0.63	67.344	7.341	5774	4.690	0.759	
204.01	9305831	14.7	0.78	66.379	3.247	5287	4.476	1.043	
206.01	5728139	14.5	1.20	64.982	5.334	5771	4.345	1.904	
208.01	3762468	15.0	1.12	67.710	3.004	6094	4.585	1.176	
210.01	10602291	14.9	1.25	72.326	20.927	5812	4.352	1.154	
211.01	10656508	15.0	0.94	69.014	35.875	6072	4.407	1.091	
212.01	6300348	14.9	0.68	72.231	5.696	5843	4.538	1.056	
214.01	11046458	14.3	1.00	64.741	3.312	5322	4.442	0.999	
215.01	12508335	14.7	2.70	88.206	42.944	5535	4.395	1.078	
217.01	9595827	15.1	1.18	66.414	3.905	5504	4.724	0.896	
219.01	6305192	14.2	0.68	65.470	8.025	5347	4.727	1.372	
220.01	7132798	14.2	0.38	65.939	2.422	5388	4.867	0.989	
221.01	3937519	14.6	0.49	65.441	3.413	5176	4.686	0.898	
223.01	4545187	14.7	0.24	67.478	3.177	5128	4.657	0.744	
224.01	5547480	14.8	0.32	65.073	3.980	5740	4.507	0.951	
225.01	5801571	14.8	0.45	74.537	0.839	6037	4.546	0.919	
226.01	5959753	14.8	0.22	71.116	8.309	5043	4.892	0.869	
229.01	3847907	14.7	0.56	67.934	3.573	5608	4.370	1.119	
234.01	8491277	14.3	0.29	65.187	9.614	5735	4.356	1.205	
235.01	8107225	14.4	0.18	66.818	5.632	5041	4.654	0.740	
237.01	8041216	14.2	0.20	67.788	8.508	5679	4.533	0.919	
239.01	6383785	14.8	0.31	71.556	5.641	5983	4.539	0.924	
240.01	8026752	15.0	0.45	71.615	4.287	5996	4.602	1.446	
241.01	11288051	14.1	0.19	64.796	13.821	5055	4.854	0.689	
242.01	3642741	14.7	0.86	71.343	7.259	5437	4.507	1.556	
403.01	4247092	14.2	1.58	104.132	21.057	5565	4.440	1.022	
409.01	5444548	14.2	0.21	112.522	13.249	5709	5.008	0.993	
410.01	5449777	14.5	1.07	109.286	7.217	5968	4.384	1.117	
412.01	5683743	14.3	0.72	103.325	4.147	5584	4.275	1.256	
413.01	5791986	14.8	0.28	109.558	15.229	5236	4.557	8.560	
416.01	6508221	14.3	0.27	118.841	18.208	5083	4.647	0.750	
417.01	6879865	14.8	0.81	109.965	19.193	5635	4.594	0.851	
418.01	7975727	14.5	1.03	105.796	22.418	5153	4.422	1.010	
419.01	8219673	14.5	0.67	122.391	20.131	5723	4.695	0.752	
420.01	8352537	14.2	0.42	107.084	6.010	4687	4.513	0.831	
421.01	9115800	15.0	1.60	105.819	4.454	5181	4.317	1.158	
423.01	9478990	14.3	0.94	135.857	21.087	5992	4.448	1.138	
425.01	9967884	14.7	0.43	102.753	5.428	5689	4.544	0.438	
426.01	10016874	14.7	0.36	105.152	16.301	5796	4.328	1.188	
427.01	10189546	14.6	0.43	124.737	24.615	5293	4.496	0.930	
